Year,IssueDate,Href
1958,August 4,/charts/hot-100/1958-08-04
1958,August 11,/charts/hot-100/1958-08-11
1958,August 18,/charts/hot-100/1958-08-18
1958,August 25,/charts/hot-100/1958-08-25
1958,September 1,/charts/hot-100/1958-09-01
1958,September 8,/charts/hot-100/1958-09-08
1958,September 15,/charts/hot-100/1958-09-15
1958,September 22,/charts/hot-100/1958-09-22
1958,September 29,/charts/hot-100/1958-09-29
1958,October 6,/charts/hot-100/1958-10-06
1958,October 13,/charts/hot-100/1958-10-13
1958,October 20,/charts/hot-100/1958-10-20
1958,October 27,/charts/hot-100/1958-10-27
1958,November 3,/charts/hot-100/1958-11-03
1958,November 10,/charts/hot-100/1958-11-10
1958,November 17,/charts/hot-100/1958-11-17
1958,November 24,/charts/hot-100/1958-11-24
1958,December 1,/charts/hot-100/1958-12-01
1958,December 8,/charts/hot-100/1958-12-08
1958,December 15,/charts/hot-100/1958-12-15
1958,December 22,/charts/hot-100/1958-12-22
1958,December 29,/charts/hot-100/1958-12-29
1959,January 5,/charts/hot-100/1959-01-05
1959,January 12,/charts/hot-100/1959-01-12
1959,January 19,/charts/hot-100/1959-01-19
1959,January 26,/charts/hot-100/1959-01-26
1959,February 2,/charts/hot-100/1959-02-02
1959,February 9,/charts/hot-100/1959-02-09
1959,February 16,/charts/hot-100/1959-02-16
1959,February 23,/charts/hot-100/1959-02-23
1959,March 2,/charts/hot-100/1959-03-02
1959,March 9,/charts/hot-100/1959-03-09
1959,March 16,/charts/hot-100/1959-03-16
1959,March 23,/charts/hot-100/1959-03-23
1959,March 30,/charts/hot-100/1959-03-30
1959,April 6,/charts/hot-100/1959-04-06
1959,April 13,/charts/hot-100/1959-04-13
1959,April 20,/charts/hot-100/1959-04-20
1959,April 27,/charts/hot-100/1959-04-27
1959,May 4,/charts/hot-100/1959-05-04
1959,May 11,/charts/hot-100/1959-05-11
1959,May 18,/charts/hot-100/1959-05-18
1959,May 25,/charts/hot-100/1959-05-25
1959,June 1,/charts/hot-100/1959-06-01
1959,June 8,/charts/hot-100/1959-06-08
1959,June 15,/charts/hot-100/1959-06-15
1959,June 22,/charts/hot-100/1959-06-22
1959,June 29,/charts/hot-100/1959-06-29
1959,July 6,/charts/hot-100/1959-07-06
1959,July 13,/charts/hot-100/1959-07-13
1959,July 20,/charts/hot-100/1959-07-20
1959,July 27,/charts/hot-100/1959-07-27
1959,August 3,/charts/hot-100/1959-08-03
1959,August 10,/charts/hot-100/1959-08-10
1959,August 17,/charts/hot-100/1959-08-17
1959,August 24,/charts/hot-100/1959-08-24
1959,August 31,/charts/hot-100/1959-08-31
1959,September 7,/charts/hot-100/1959-09-07
1959,September 14,/charts/hot-100/1959-09-14
1959,September 21,/charts/hot-100/1959-09-21
1959,September 28,/charts/hot-100/1959-09-28
1959,October 5,/charts/hot-100/1959-10-05
1959,October 12,/charts/hot-100/1959-10-12
1959,October 19,/charts/hot-100/1959-10-19
1959,October 26,/charts/hot-100/1959-10-26
1959,November 2,/charts/hot-100/1959-11-02
1959,November 9,/charts/hot-100/1959-11-09
1959,November 16,/charts/hot-100/1959-11-16
1959,November 23,/charts/hot-100/1959-11-23
1959,November 30,/charts/hot-100/1959-11-30
1959,December 7,/charts/hot-100/1959-12-07
